Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1940,7,12,,,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,D1,2
1940,7,24,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,D1,2
1941,7,13,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,2
1941,9,21,,,Semeru,Java,Indonesia,-8.108,112.92,D1,2
1943,2,20,,,Michoacan-Guanajuato,Mexico,Mexico,19.48,-102.25,D2,4
1943,4,13,,,"Azul, Cerro",Galapagos,Ecuador,-0.9,-91.42,D1,3
1944,3,27,,,Vesuvius,Italy,Italy,40.821,14.426,D2,2
1944,6,10,,,Cleveland,Aleutian Is,United States,52.82,-169.95,D1,3
1944,6,23,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,D1,2
1944,8,20,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,2
1944,8,26,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,D1,2
1944,12,4,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,2
1946,1,,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,D1,2
1946,2,,,,Semeru,Java,Indonesia,-8.108,112.92,D1,2
1946,10,29,,,Semeru,Java,Indonesia,-8.108,112.92,D1,2
1946,11,13,TSU,,Sarychev Peak,Kuril Is,Russia,48.092,153.2,D1,4
1947,1,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,2
1947,7,6,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,2
1947,9,16,,,Akagi,Honshu-Japan,Japan,36.53,139.18,D6,
1947,11,2,,,Hekla,Iceland-S,Iceland,63.98,-19.7,D1,4
1948,4,7,,,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,D1,2
1949,1,1,,,Villarrica,Chile-C,Chile,-39.42,-71.93,D1,3
1949,5,26,,,Purace,Colombia,Colombia,2.32,-76.4,D1,2
1949,6,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,D2,3
1950,8,28,,,Semeru,Java,Indonesia,-8.108,112.92,D1,1
1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,D2,3
1950,9,23,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,2
1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,D2,4
1951,8,3,TSU,EQ,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,D3,
1951,8,31,,,Kelut,Java,Indonesia,-7.93,112.308,D1,3
1951,11,5,,,Hakone,Honshu-Japan,Japan,35.22,139.02,D7,
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,D2,3
1951,,,TSU,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,D1,2
1952,3,27,,,Hakone,Honshu-Japan,Japan,35.22,139.02,D7,
1952,9,16,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
1952,9,23,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
1952,9,24,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
1952,9,26,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,U,1
1953,3,11,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
1953,3,23,,,Merapi,Java,Indonesia,-7.542,110.442,D1,3
1953,3,25,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,Unknown,2
